Sinopsis,limpios
"ESTA HISTORIA INICIA CON CADA UNO DE LOS PERSONAJES CAMINANDO POR LA CALLE, ELLOS SE ENCUENTRAN EN UN PUNTO DETERMINADO (TIENE QUE TENER ESPEJOS PARA CONSTRUIR LA HISTORIA PARALELA) SE GUSTAN Y JUNTOS SE IMAGINAN EL FUTURO (QUE ES LO QUE SE REFLEJA EN LOS ESPEJOS); MIENTRAS ELLOS TODO LO VAN ESCRIBIENDO EN SUS CELULARES, CADA COSA QUE IMAGINAN, SON LOS REFLEJOS LOS QUE LO CONVIERTEN EN REALIDAD. TODO VA A BLANCO Y NEGRO, TAN SOLO LOS REFLEJOS DE LOS PERSONAJES ESTARÍN A COLOR, ASÍ EL EFECTO VISUAL DE LAS ACCIONES REALIZADAS SE VERÍN DIFERENTES A LO COTIDIANO DENTRO DE LA HISTORIA.",histori inici cad personaj camin call encuentr punt determin ten espej constru histori paralel gust junt imagin futur reflej espej mientr van escrib celular cad cos imagin reflej conviert realid va blanc negr tan sol reflej personaj estar n color asi efect visual accion realiz ver n diferent cotidian dentr histori
"La historia tratarÍ de un convencional joven, rutinario, que a pesar de estar metido en su vida, espera, algÍºn día, de esos que componen su rutina, encontrar una chispa que lo reviva y le dé un sentido; ese algo es una mujer, a la que encuentra de manera casual, y con la que imagina el cambio de rutina, a pesar de solo verla en un semÍforo, cruzar miradas, y no cruzar palabras. Un sÍºbito acontecimiento lo estremecerÍ devolviéndolo a su vida rutinaria, luego de haber tenido la oportunidad de romper con eso, y no haberlo hecho. Inicialmente hay una realidad estÍtica, inamovible, impregnada de hechos predecibles, pero la alteración impredecible de uno de esos hechos lleva a David a ver en un encuentro casual un mundo de posibilidades reflejadas en sus pensamientos y la ilusión de darle vida a su parca rutina, de revivir el gris con mÍs colores que le propone el encuentro. Sin embargo, es tan abrumadora la posibilidad de una vida distinta que el barrido de imÍgenes no es",histori tratar convencional jov rutinari pes met vid esper algiºn dia compon rutin encontr chisp reviv de muj encuentr maner casual imagin cambi rutin pes sol verl semifor cruz mir cruz palabr siºbit acontec estremecer devolv vid rutinari lueg hab oportun romp hab hech inicial realid estit inamov impregn hech predec alter impredec hech llev dav ver encuentr casual mund posibil reflej pensamient ilusion darl vid parc rutin reviv gris mis color propon encuentr embarg tan abrum posibil vid distint barr imigen
"Se quiere resaltar BogotÍ y sus alrededores capturando paisajes y su cotidianidad desde los tonos azulados y fríos de las carreteras hasta los cÍlidos de la ciudad y su cotidianidad, pasando por una variación de tonos donde se muestra el alma de BogotÍ, su gente, sus sonrisas y su gente.",quier resalt bogot alrededor captur paisaj cotidian ton azul fri carreter cil ciud cotidian pas variacion ton muestr alma bogot gent sonris gent
"A lo largo del día se muestra la rutina de Martín, un joven aparentemente comÍºn y corriente que ve a Angela en todas partes, aunque al transcurrir el mismo hace notar una clara obsesión con ella evidenciando de igual forma el síndrome del que padece (síndrome del frégoli).",larg dia muestr rutin martin jov aparent comiºn corrient ve angel tod part aunqu transcurr mism hac not clar obsesion evidenci igual form sindrom padec sindrom fregoli
"El drama de este film se presenta en la habitación 205 de una pensión , tras un triÍngulo amoroso. Carlos un empresario de aproximadamente 40 años, del comÍºn; Johana una mujer hermosa, voluptuosa, y extremadamente vanidosa, de 26 años de edad, decide engañar a su esposo Carlos, con un hombre mÍs joven que él, aprovechÍndose de la aparente nobleza de su esposo y las comodidades que les brindaba. Â¿ A dónde puede conducir una decepción amorosa?",dram film present habit 205 pension tras triingul amor carl empresari aproxim 40 años comiºn johan muj hermos voluptu extrem vanid 26 años edad decid engañ espos carl hombr mis jov aprovechindos aparent noblez espos comod brind â dond pued conduc decepcion amor
"Alguna vez cuando tenías algo muy importante que hacer, Â¿te ha parecido que sueñas con haberlo hecho, pero despiertas y nada? Esta historia es mÍs confusa aÍºn, nuestro amigo â€œEpifanioâ€ no se da cuenta lo que le estÍ pasando. Epifanio estÍ listo para entregar un trabajo pendiente, despistado por entregarlo a tiempo, se sumerge en una sustancia desconocida que tiene en su escritorio de trabajo, a causa de esto, empieza un trance en el cual le acontecen una serie de eventos, que no sabremos cuÍles de ellos son reales y cuales son sólo producto de su imaginación, o serÍ que estÍ todavía soñando?â€¦ su compañero felino es quien percibe dichos eventos totalmente indiferente, le vale cinco, al fin y al cabo es solo un gato. 2 CB a Cat, es un tipo de documental de ficción, segÍºn el punto de vista de su director.",algun vez import hac â parec sueñ hab hech despiert histori mis confus aiºn amig â œepifanioâ da cuent esti pas epifani esti list entreg trabaj pendient despist entreg tiemp sumerg sustanci desconoc escritori trabaj caus empiez tranc acontec seri event sabr cuil real cual sol product imagin ser esti todav soñ â compañer felin percib dich event total indiferent val cinc fin cab sol gat 2 cb cat tip documental ficcion segiºn punt vist director
"En estos tiempos la mayoría de nuestros recuerdos permanecen en fotos o videos que hicimos con nuestro celular, aprovechando eso, he recopilado momentos inolvidables con mi familia y amigos grabados con el movil para dar un mensaje claro de que el tiempo pasa y a veces es desaprovechado por la mayoría de las personas. Le damos importancia a las cosas que no nos llenan emocionalmente. Recordemos que la vida es corta e irrepetible, y a veces eso que deseamos hacer solo nos quita unos minutos de nuestro valioso tiempo pero nos llenan para siempre. Â¿Y tÍº qué harías en 3 minutos?",tiemp mayor recuerd permanec fot vide hic celul aprovech recopil moment inolvid famili amig grab movil dar mensaj clar tiemp pas vec desaprovech mayor person dam import cos llen emocional record vid cort irrepet vec des hac sol quit minut valios tiemp llen siempr â tiº har 3 minut
Leire abandona la fiesta sin avisar y Laura le persigue para intentar comprender que ha sucedido.,leir abandon fiest avis laur persig intent comprend suced
"Es una chica que es solitaria y busca conocer nuevos amigos a través de las redes sociales, sin hacer caso de consejos de familiares que le decían que podía ser peligroso, hasta que le ocurre un suceso que da un giro a la historia",chic solitari busc conoc nuev amig traves red social hac cas consej familiar dec pod ser peligr ocurr suces da gir histori
"El mandatario Jeff Carabal cegado por su sed de poder y riqueza, ordena realizar distintas operaciones, las cuales ponen a colgar de un hilo la vida de la fauna colombiana. Lo que él no sabe es que su pequeña hija le tocara su parte mÍs sensible haciéndolo vivir en carne propia la consecuencia de sus actos.",mandatari jeff carabal ceg sed pod riquez orden realiz distint oper cual pon colg hil vid faun colombian sab pequeñ hij toc part mis sensibl hac viv carn propi consecuent actos
