Categoria,Edad,Pais,Titulo,Genero,Duracion,Marca,Referencia,Dias,Marcas,Personas,Sinopsis,limpios
AFICIONADO,24,Colombia,0.5,Drama,300,Motorola,Moto G 2,7,130.0,4,"Jimena, mujer rígidamente estructurada, actualiza su aplicación. Ahora puede medir su emocionalidad, le es útil hasta que pierde el control y ya no sabe si sentir o chequear qué está sintiendo.",jimen muj rigid estructur actualiz aplic ahor pued med emocional util pierd control sab si sent chequ
CRONICAS,26,Belgium,12,Crónica,180,Apple,ad,1,,1,<ksdvnc,ksdvnc
AFICIONADO,34,Colombia,#ATuRitmo,Comedia,65,Huawei,P10 lite,8,245.0,7,"Un día cualquiera en el Sena David se encuentra en el aula de estudios cuando todos los demás se van, no se percata de que Christian   se queda también y observa todo lo que hace.",dia cualqu sen dav encuentr aul estudi demas van percat christi qued observ hac
AFICIONADO,41,Colombia,#EstamosConPipe,Ficción,300,Apple,Ipad Mini 2 Modelo: MD528E7/A,16,153.0,11,"Pipe es un títere que se gana la lotería, pero no la puede cobrar debido a que su único documento es su factura de fabricación. Su temperamento explosivo lo lleva a grabar un facebook live en el que se queja airadamente y exige que se le reconozca su identidad. Al día siguiente se entera, por los medios de comunicación, que se ha creado una tendencia es su nombre: #EstamosConPipe. Pipe, .famoso por la prensa, es invitado al set del ""Super Show"", sin sospechar que la prensa enarbolará una nueva causa dejándolo en el olvido.  Pipe entenderá que a veces la suerte es una burla del destino.",pip titer gan lot pued cobr deb unic document factur fabric temperament explos llev grab facebook liv quej airad exig reconozc ident dia siguient enter medi comun cre tendenci nombr estamosconpip pip famos prens invit set sup show sospech prens enarbol nuev caus dej olvid pip entend vec suert burl destin
CRONICAS,37,Colombia,#personasquetalvezconozcas Andres Arias,Crónica,125,Apple,Iphone 5,2,,2,"#personasquetalvezconozcas es un ejercicio de enfrentarnos a nuestro yo digital y lo que pensamos sobre el comportamiento en redes con respecto a lo social, político y familiar. Trata de ser una especie de contrapeso a la superficialidad, las falsa imagen que se proyecta en RRSS, la vida perfecta inexistente.",personasquetalvezconozc ejercici enfrent digital pens comport red respect social polit famili trat ser especi contrapes superficial fals imag proyect rrss vid perfect inexistent
JUVENIL,17,Colombia,¿ Me has visto ?,Suspenso,298,Apple,iphone 6,3,133.0,5,"es la historia de una joven que caminando por las calles encuestra a su padre caminando con un niño desconocido, la actitud de su padres le hace sospechar que pasa algo raro en su casa, nunca se imagino que la realidad también le tocara probar de la psicosis de su padre.",histori jov camin call encuestr padr camin niñ desconoc actitud padr hac sospech pas rar cas nunc imagin realid toc prob psicosis padr
AFICIONADO,22,Colombia,¿Dónde está el amor?,Drama,290,Apple,I phone 6s,90,53.0,13,"Nestor un apasionado fotótografo, se encuentra en un momento de su vida en donde todo es perfecto, Helen ha dibujado con colores su panorama, ella es su complemento ideal, pero por los azares de la vida, se verá quebrado cuando ella parta de su lado...Este suceso lo convertirá en un hombre solitario, la desesperación y desolación de la partida de Helen, lo llevarán a experimentar con muñecas virtuales. un mundo futurista, donde la compañía y el cariño están al alcance de cualquiera si cuenta con dinero...No obstante, se preguntará por el alma humana en cada una de las experiencias sensoriales que se atreva a sentir, la satisfacción unipersonal y la incapacidad de persuasión de sus amantes virtuales, le mostrarán que el amor no se encuentra en una guía de instrucciones, sino que está predestinado a ser en el momento menos esperado",nestor apasion fototograf encuentr moment vid perfect hel dibuj color panoram complement ideal azar vid ver quebr part lad suces convert hombr solitari desesper desol part hel llev experiment muñec virtual mund futur compañ cariñ alcanc cualqu si cuent diner obstant pregunt alma human cad experient sensorial atrev sent satisfaccion unipersonal incapac persuasion amant virtual mostr amor encuentr gui instruccion sin predestin ser moment men esper
AFICIONADO,34,Colombia,¿Donde esta Laura,Acción,300,Huawei,p smart,30,148.0,12,"Un agente de policía esta interrogando a lo que parece ser un grupo de delincuentes liderados por Samy, Samy le cuenta a este Policia como lograron recuperar una maleta con dinero que les fue robada.",agent polic interrog parec ser grup delincuent lider samy samy cuent polici logr recuper malet diner rob
AFICIONADO,29,Colombia,"¿Estás bien, mamá?",Drama,150,Apple,iPhone 6 /iPhone SE,5,49.0,6,"Isa, la pequeña de la casa, es despertada por unos ruidos en su propia casa. ¿Serán los ruidos de su mamá?",isa pequeñ cas despert ruid propi cas ruid mam
FAMILIAR,38,Colombia,¿Jugamos?,Drama,294,Apple,Iphone 6,9,,6,"Es la historia de un niño egoísta, quien ha crecido con todos los juguetes que quiere. Pero que en una salida de campo conocerá a un nuevo amiguito, quien con humildad y alegría nos dará sin darse cuenta un mensaje de generosidad y amabilidad, mostrándonos que el valor de la amistad está por encima de las cosas materiales.",histori niñ egoist crec juguet quier sal camp conoc nuev amiguit humild alegr dar dars cuent mensaj gener amabil mostr valor amist encim cos material
