Sinopsis,limpios
"Se trata de una niña que pensaba que la última palabra la tenia el culo, pero comprueba que no era así..",trat niñ pens ultim palabr teni cul comprueb asi
una pequeña probada de lo que tenemos planeado para una serie de nuestro pequeño set de producciones realizado por jóvenes de iztapalapa llamado: Micaxe Producciones,pequeñ prob plan seri pequeñ set produccion realiz joven iztapalap llam micax produccion
"Luzma es una maestra jubilada que recuerda con melancolía sus años de enseñanza, pero una tarde descubrirá que ella aún puede dar lo mejor.",luzm maestr jubil recuerd melancol años enseñ tard descubr aun pued dar mejor
"TRATA SOBRE CUANDO ALGUIEN VIAJA DE NOCHE POR LAS CARRETERAS, SE CUENTAS DIVERSAS LEYENDAS URBANAS DE DISTINTAS APARICIONES, MUCHAS VECES POR SUGESTION, QUIEN NO HA PLATICADO DE MONSTRUOS Y AL DORMIR SUEÑA CON ELLOS?. TERROR DE CARRETERA ENFOCA ALGUNAS APARICIONES PRODUCIDAS POR LA MENTE... PORQUE ESO DICEN, QUE ES TU MENTE LA QUE TE GASTA BROMAS PESADAS",trat algui viaj noch carreter cuent divers leyend urban distint aparicion much vec sugestion platic monstru dorm sueñ terror carreter enfoc aparicion produc ment dic ment gast brom pes
Me gusta cantar y se tocar algunos instrumentos,gust cant toc instrument
"Cortometraje realizado con Iphone SE, patrocinado por Apple Latinoamérica, para el Taller de Cine en la Era Digital del departamento de cinematografía de la Universidad Veracruzana, impartido por el maestro Gustavo Vega (Alumno de Béla Tarr en el Filmfactory de Sarajevo, Bosnia) el cual retrata una narración cinematográfica a través de una estructura como lo es el Haiku, narrar visualmente mediante la yuxtaposición de imágenes en 5- 7- 5 tomas. En este trabajo se retrata la cotidianeidad vista a través de la intuición cinematográfica",cortometraj realiz iphon patrocin apple latinoamer tall cin digital departament cinematograf univers veracruzan impart maestr gustav veg alumn bel tarr filmfactory sarajev bosni retrat narracion cinematograf traves estructur haiku narr visual mediant yuxtaposicion imagen 5 7 5 tom trabaj retrat cotidian vist traves intuicion cinematograf
"Ella 2 años, El 4 años; Dos hermanos que se llevan muy poco de edad y que juegan juntos, una hermana que aprende todo sobre su hermano y un hermano que quiere enseñarle todo a su hermana.",2 años 4 años dos herman llev edad jueg junt herman aprend herman herman quier enseñ herman
YO Y SOLO YO ES UN DOCUMENTAL QUE,sol documental
Se trata de una pelicula erótica lflflf,trat pelicul erot lflflf
"sñlkfposerjbòrçs ep`bk`wpkrtb`pwr, ae`rpbkpobkrw",sñlkfposerjbòrçs ep bk wpkrtb pwr ae rpbkpobkrw
Crear conciencia sobre la situación de comunidades en pobreza extrema y ver como la tecnología puede influir en la toma de decisiones y ser más humanos con nuestro país,cre concienci situacion comun pobrez extrem ver tecnolog pued influ tom decision ser human pais
"El cortometraje invita a todos los mexicanos a aprender de los errores, cada derrota puede ser una oportunidad para ser mejor. El cortometraje te invita a vivir.",cortometraj invit mexican aprend error cad derrot pued ser oportun ser mejor cortometraj invit viv
"María sueña con viajar, conocer el mar y vivir la vida. Conoce a un extraño, Ricardo Valle, en un café. Imagina que se van juntos a un hotel. En realidad Ricardo la acompaña hasta la puerta de su departamento donde ella aún atada a sus miedos y reservas lo despide.  María se arrepiente. Llena de esperanza y soledad decide quitar el seguro de su puerta. Al día siguiente la encuentran amordazada y estrangulada en su cama.",mar sueñ viaj conoc mar viv vid conoc extrañ ricard vall caf imagin van junt hotel realid ricard acompañ puert departament aun atad mied reserv despid mar arrepient llen esper soled decid quit segur puert dia siguient encuentr amordaz estrangul cam
"Un extraño artista ha perdido algo, así que comienza una minuciosa búsqueda en su pequeño estudio. A pesar del fastidio y las distracciones, no descansará hasta recuperar lo que ha perdido.",extrañ artist perd asi comienz minuci busqued pequeñ estudi pes fastidi distraccion descans recuper perd
a,
q,q
q,q
"Tres amigas en una pijamada juegan al péndulo una de ellas se aferra en saber demás sobre su situación amorosa actual no conforme lo reta a solas una serie de sucesos paranormales empiezan a ocurrirle a partir de eso pero hace caso omiso la curiosidad es más, y sigue jugando hasta que se da cuenta que no es parte de un sueño, es la realidad, una realidad de la que nadie la salvará.",tres amig pijam jueg pendul aferr sab demas situacion amor actual conform ret sol seri suces paranormal empiez ocurr part hac cas omis curi sig jug da cuent part sueñ realid realid nadi salv
