"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"31.12.2009","13.0636","13.0653","13.1447","13.0395","-0.22%"
"30.12.2009","13.0920","12.9925","13.1015","12.9903","0.69%"
"29.12.2009","13.0025","13.0480","13.0980","12.9522","-0.10%"
"28.12.2009","13.0150","12.8509","13.0926","12.8156","0.95%"
"25.12.2009","12.8930","12.9110","12.9110","12.8840","0.05%"
"24.12.2009","12.8870","12.9150","12.9250","12.8595","-0.11%"
"23.12.2009","12.9013","12.8899","12.9328","12.8425","0.02%"
"22.12.2009","12.8990","12.9265","12.9746","12.8710","-0.35%"
"21.12.2009","12.9445","12.8310","12.9644","12.7826","0.93%"
"18.12.2009","12.8258","12.8555","12.9542","12.8118","-0.24%"
"17.12.2009","12.8562","12.7145","12.9967","12.6965","1.26%"
"16.12.2009","12.6965","12.6960","12.7475","12.6545","0.01%"
"15.12.2009","12.6950","12.7365","12.8250","12.6491","-0.38%"
"14.12.2009","12.7432","12.8320","12.9353","12.7290","-1.02%"
"11.12.2009","12.8745","12.9465","12.9539","12.8250","-0.46%"
"10.12.2009","12.9335","12.9033","13.0124","12.8570","0.21%"
"09.12.2009","12.9065","12.9197","13.0245","12.8459","-0.12%"
"08.12.2009","12.9221","12.6715","12.9880","12.6485","1.84%"
"07.12.2009","12.6888","12.6285","12.7368","12.5827","0.40%"
"04.12.2009","12.6387","12.6412","12.7045","12.4882","0.21%"
"03.12.2009","12.6125","12.7190","12.7245","12.5555","-0.89%"
"02.12.2009","12.7263","12.8584","12.8737","12.7112","-0.96%"
"01.12.2009","12.8500","12.9309","12.9453","12.8150","-0.66%"
"30.11.2009","12.9360","12.8835","12.9839","12.8500","0.03%"
"27.11.2009","12.9325","12.9720","13.0972","12.8590","-0.59%"
"26.11.2009","13.0087","12.8528","13.0571","12.8322","1.34%"
"25.11.2009","12.8365","12.8965","12.9095","12.7866","-0.40%"
"24.11.2009","12.8882","12.9625","13.0248","12.8679","-0.66%"
"23.11.2009","12.9735","13.0345","13.1144","12.8390","-0.78%"
"20.11.2009","13.0760","13.0658","13.1266","13.0316","0.30%"
"19.11.2009","13.0363","12.9956","13.0883","12.9860","0.27%"
"18.11.2009","13.0015","13.0408","13.0839","12.9490","-0.26%"
"17.11.2009","13.0348","12.9971","13.1335","12.9469","0.33%"
"16.11.2009","12.9923","13.0155","13.0504","12.9475","-0.17%"
"13.11.2009","13.0150","13.1945","13.2075","13.0113","-1.28%"
"12.11.2009","13.1840","13.1485","13.2680","13.1195","0.15%"
"11.11.2009","13.1638","13.2089","13.2163","13.1037","-0.37%"
"10.11.2009","13.2124","13.2752","13.3489","13.1885","-0.43%"
"09.11.2009","13.2698","13.3521","13.4431","13.2356","-1.09%"
"06.11.2009","13.4155","13.2968","13.4445","13.2595","0.88%"
"05.11.2009","13.2983","13.2937","13.3896","13.2289","0.02%"
