,Año,Categoría,País,Género,¿Cómo se enteró?,Referencia Dispositivo
4,2015,Aficionado,Colombia,Thriller,Convocatoria,HUAWEI Y530-U051
6,2015,Aficionado,Colombia,"Suspenso, terror",Convocatoria,Moto G 2da generación (2014)
7,2015,Aficionado,Colombia,"Drama, Familia",Convocatoria,IPHONE 4 Y IPHONE 5S
8,2015,Aficionado,Colombia,Cine experimental,Convocatoria,i phone 6
10,2015,Profesional,Colombia,Drama,Convocatoria,Phone 6 y iPhone 5s
11,2015,Profesional,Colombia,Documental,Convocatoria,sendtel GB/T 18287 - 2014
13,2015,Aficionado,Colombia,Romanticas,Convocatoria,Sony Ericson Xperia M2
14,2015,Aficionado,Colombia,Cine experimental animación,Convocatoria,Video Iphone 4 Voz en off Azumi C+Plus
15,2015,Profesional,Colombia,Thriller,Convocatoria,IPHONE 6
16,2015,Aficionado,Colombia,Suspenso,Convocatoria,iPhone 6 y iPhone 6Plus
17,2015,Aficionado,Colombia,Cine experimental,Convocatoria,Iphone 4S - Windows Phone Lumia 520
21,2015,Aficionado,Colombia,Cine Experimental,Convocatoria,iPhone 4S
22,2015,Aficionado,Colombia,Drama no se puede publicar,Convocatoria,HUAWEI G610
24,2015,Profesional,Colombia,Romántica,Convocatoria,Iphone 5
26,2015,Profesional,España,Documental,Convocatoria,iPad 3
28,2015,Profesional,Colombia,"Drama, basadas en historia real",Convocatoria,Sony Xperia M
29,2015,Aficionado,Colombia,"Drama, Familia",Convocatoria,Huawei Y530
31,2015,Profesional,Colombia,"Drama, familia",Convocatoria,SAMSUNG GALAXY ACE GT-S5830M
32,2015,Aficionado,Colombia,Drama,Convocatoria,Iphone 6
33,2015,Profesional,Colombia,Drama,Convocatoria,Iphone 5c
35,2015,Aficionado,Colombia,Comedia,Convocatoria,MOTOROLA PHOTON MB855
37,2015,Profesional,Colombia,Drama,Convocatoria,i phone 6
39,2015,Aficionado,Colombia,Drama,Convocatoria,SAMSUNG GALAXY ACE II
40,2015,Aficionado,Colombia,Documental,Convocatoria,Alcatel onetouch
42,2015,Aficionado,Colombia,"Basadas en historias reales, documental",Convocatoria,iPhone 6
43,2015,Aficionado,Colombia,Ciencia ficción,Convocatoria,LANIX S700
44,2015,Aficionado,Colombia,"Romántica, banda sonora original",Convocatoria,Iphone 5
45,2015,Profesional,Colombia,Erotico,Convocatoria,IPHONE 5
47,2015,Aficionado,Colombia,Comedia,Convocatoria,LG G2
48,2015,Aficionado,Colombia,Cine experimental,Convocatoria,iphone 3gs
49,2015,Aficionado,Colombia,Drama,Convocatoria,Motorola(MOTO G 2
50,2015,Aficionado,Colombia,Ciencia Ficción,Convocatoria,samsung galaxy s4
51,2015,Infantil,Colombia,Terror,Convocatoria,I PHONE 6
52,2015,Aficionado,Colombia,Terror,Convocatoria,"Lanix S700, Blackberry, Tablet Lenovo A2107AH, Moto G,"
54,2015,Aficionado,Colombia,"Drama, familia, triste",Convocatoria,Lumia 610
58,2015,Aficionado,Colombia,Drama Banda Sonora original,Convocatoria,motorola G
60,2015,Aficionado,Colombia,"Terror, suspenso",Convocatoria,Xperia Z3- Mini ipad
62,2015,Aficionado,Colombia,Drama,Convocatoria,Motorola Moto E
63,2015,Aficionado,Colombia,"Suspenso, terror",Convocatoria,Samsumg Motorola G y Samsumg S3
67,2015,Aficionado,Colombia,Romántica,Convocatoria,iphon 5S
68,2015,Aficionado,Colombia,Animación,Convocatoria,Samsung Galaxy S4
69,2015,Aficionado,Colombia,Documental,Convocatoria,Motorola G primera generacion
71,2015,Aficionado,Colombia,Stop motion,Convocatoria,iPhone 5C 16GB
72,2015,Aficionado,Colombia,"Stop Motion, animación",Convocatoria,"Iphone 6, Iphone 5, Ipad."
74,2015,Aficionado,Colombia,Comedia,Convocatoria,Ipad Mini y Iphone 4s
75,2015,Profesional,Colombia,"Drama,",Convocatoria,iPhone 6
77,2015,Profesional,Colombia,Thriller,Convocatoria,samsung Galaxy A3
78,2015,Profesional,Colombia,Romántica,Convocatoria,iPhone 4
79,2015,Aficionado,Colombia,Cine experimental,Convocatoria,Motorola Moto G
80,2015,Aficionado,Colombia,Thriller,Convocatoria,Samsung Galaxy core duos
81,2015,Profesional,Colombia,Romántica,Convocatoria,Sony Xpiria Z1
83,2015,Infantil,Colombia,Drama,Convocatoria,"Iphone 5s, Ipad Mini, Motorola MotoG, Nokia Lumia 520."
85,2015,Infantil,Colombia,Comedia,Convocatoria,iPhone 4s & Samsung S3
86,2015,Aficionado,Colombia,Comedia,Convocatoria,Samsung Galaxy S3 I9300
89,2015,Aficionado,Colombia,Drama,Convocatoria,Alcatel One Touch Pop C7
90,2015,Aficionado,Colombia,Drama,Convocatoria,iPhone 6
91,2015,Aficionado,Colombia,Romántica,Convocatoria,i phone 5
92,2015,Aficionado,Colombia,"Drama, Familia",Convocatoria,iPhone 4
94,2015,Aficionado,Colombia,Drama,Convocatoria,smarphone HTC desire y Samsung
95,2015,Profesional,Colombia,Comedia,Convocatoria,Samsung Galaxy s4
96,2015,Profesional,Colombia,Ciencia Ficción,Convocatoria,Samsung Galaxy S4 & Samsung Galaxy S4 Mini
97,2015,Profesional,Colombia,Drama,Convocatoria,ALCATEL ONETOUCH 03-35
99,2015,Aficionado,Colombia,Familia,Convocatoria,samsung galaxy GRAND 2
102,2015,Aficionado,Colombia,Ciencia Ficción,Convocatoria,Sony Xperia T
104,2015,Profesional,Colombia,"Acción, Familia, banda sonora original",Convocatoria,moto x - huawei
105,2015,Aficionado,Colombia,Cine experimental,Convocatoria,ZTE BLADE 12
106,2015,Profesional,Colombia,Drama,Convocatoria,Motorola G-2
108,2015,Aficionado,Colombia,Drama,Convocatoria,Samsung galaxy Core Prime y Alcatel Idol Mini
109,2015,Aficionado,Colombia,Drama,Convocatoria,LG G3
114,2015,Aficionado,México,Romántica,Convocatoria,Iphone 5s
115,2015,Aficionado,Colombia,Drama,Convocatoria,"1 iPad y un iPhone, ambos marca Apple"
116,2015,Aficionado,Colombia,"Drama, romántica",Convocatoria,Motorola XT1063
118,2015,Aficionado,Colombia,"Comedia, Familia",Convocatoria,Samsung Galaxy Grand 2
119,2015,Aficionado,Colombia,Drama,Convocatoria,I-phone 4s
120,2015,Profesional,Colombia,Thriller,Convocatoria,Motorola X y Huawei 511
121,2015,Profesional,Colombia,Thriller,Convocatoria,iPhone 5
122,2015,Profesional,Colombia,Drama,Convocatoria,Samsung Galaxy S5
123,2015,Aficionado,Colombia,Suspenso,Convocatoria,Sony Xperia Z3
124,2015,Aficionado,Colombia,Drama,Convocatoria,Azumi A50+ / Alcatel One Touch c7 / iphone 4 s
125,2015,Profesional,Colombia,Documental,Convocatoria,"SONY XPERIA, NOKIA LUMIA."
126,2015,Aficionado,Colombia,"Suspenso, Terror",Convocatoria,HUAWEI ASCEND G630
127,2015,Aficionado,Colombia,Drama,Convocatoria,Samsung Galaxy Core 2
