Año,Categoría,País,Género,Edad,Sexo
2017,Aficionado,Si,Comedia romÍntica,35,Masculino
2017,Aficionado,Si,Drama,30,Masculino
2017,Aficionado,Si,Documental,23,Masculino
2017,Aficionado,Si,Suspenso,18,Femenino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Ficción,38,Masculino
2017,Aficionado,Si,Drama,34,Masculino
2017,Aficionado,No,Suspenso,30,Masculino
2017,Aficionado,Si,Ficción,31,Masculino
2017,Aficionado,Si,Drama,21,Masculino
2017,Aficionado,Si,Comedia romÍntica,30,Femenino
2017,Aficionado,Si,Suspenso,24,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Ficción,21,Masculino
2017,Aficionado,Si,Ficción,29,Femenino
2017,Aficionado,Si,Comedia,26,Masculino
2017,Aficionado,Si,Ficción,36,Masculino
2017,Aficionado,Si,Drama,40,Femenino
2017,Aficionado,Si,Drama,18,Femenino
2017,Aficionado,No,Drama,38,Masculino
2017,Aficionado,Si,Ficción,25,Masculino
2017,Aficionado,Si,Drama,35,Femenino
2017,Aficionado,Si,Suspenso,19,Femenino
2017,Aficionado,Si,Drama,36,Masculino
2017,Aficionado,Si,Acción,23,Femenino
2017,Aficionado,Si,Drama,31,Masculino
2017,Aficionado,Si,Drama,33,Masculino
2017,Aficionado,Si,Drama,27,Femenino
2017,Aficionado,Si,Ficción,58,Femenino
2017,Aficionado,Si,Comedia,31,Masculino
2017,Aficionado,Si,Suspenso,27,Masculino
2017,Aficionado,Si,Documental,37,Femenino
2017,Aficionado,Si,Drama,25,Masculino
2017,Aficionado,Si,Documental,23,Masculino
2017,Aficionado,Si,Comedia,24,Masculino
2017,Aficionado,Si,Documental,18,Masculino
2017,Aficionado,Si,Drama,34,Masculino
2017,Aficionado,Si,Drama,33,Masculino
2017,Aficionado,Si,Comedia,30,Femenino
2017,Aficionado,Si,Ficción,20,Femenino
2017,Aficionado,Si,Drama,37,Masculino
2017,Aficionado,Si,Terror,24,Masculino
2017,Aficionado,Si,Drama,22,Femenino
2017,Aficionado,Si,Terror,46,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Drama,31,Masculino
2017,Aficionado,Si,Suspenso,40,Femenino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Ficción,24,Masculino
2017,Aficionado,Si,Drama,28,Masculino
2017,Aficionado,Si,Drama,20,Masculino
2017,Aficionado,Si,Drama,34,Masculino
2017,Aficionado,Si,Drama,59,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Suspenso,32,Masculino
2017,Aficionado,Si,Suspenso,27,Masculino
2017,Aficionado,Si,Ficción,24,Masculino
2017,Aficionado,Si,Drama,34,Masculino
2017,Aficionado,Si,Suspenso,24,Masculino
2017,Aficionado,Si,Ficción,21,Masculino
2017,Aficionado,Si,Ficción,22,Femenino
2017,Aficionado,Si,Drama,26,Masculino
2017,Aficionado,Si,Comedia,28,Masculino
2017,Aficionado,Si,Drama,31,Masculino
2017,Aficionado,Si,Drama,25,Masculino
2017,Aficionado,Si,Drama,20,Femenino
2017,Aficionado,Si,Comedia romÍntica,21,Femenino
2017,Aficionado,Si,Suspenso,19,Masculino
2017,Aficionado,Si,Drama,20,Masculino
2017,Aficionado,Si,Ficción,37,Femenino
2017,Aficionado,Si,Drama,47,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Drama,21,Masculino
2017,Aficionado,Si,Ficción,23,Masculino
2017,Aficionado,Si,Acción,21,Femenino
2017,Aficionado,Si,Suspenso,28,Masculino
2017,Aficionado,Si,Terror,28,Masculino
2017,Aficionado,Si,Suspenso,19,Masculino
2017,Aficionado,Si,Drama,21,Masculino
2017,Aficionado,Si,Suspenso,21,Masculino
2017,Aficionado,Si,Ficción,26,Masculino
2017,Aficionado,Si,Drama,37,Masculino
2017,Aficionado,Si,Ficción,27,Masculino
2017,Aficionado,Si,Drama,35,Femenino
2017,Aficionado,Si,Ficción,19,Femenino
2017,Aficionado,Si,Suspenso,23,Femenino
2017,Aficionado,No,Drama,23,Masculino
2017,Aficionado,Si,Drama,23,Femenino
2017,Aficionado,Si,Documental,20,Masculino
2017,Aficionado,Si,Drama,28,Masculino
2017,Aficionado,Si,Suspenso,20,Femenino
2017,Aficionado,Si,Drama,25,Masculino
2017,Aficionado,Si,Suspenso,22,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Suspenso,21,Femenino
2017,Aficionado,Si,Documental,36,Masculino
2017,Aficionado,Si,Suspenso,26,Masculino
2017,Aficionado,Si,Drama,49,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Documental,32,Femenino
2017,Aficionado,Si,Drama,28,Masculino
2017,Aficionado,Si,Suspenso,20,Masculino
2017,Aficionado,Si,Suspenso,19,Masculino
2017,Aficionado,Si,Documental,39,Masculino
2017,Aficionado,Si,Drama,19,Masculino
2017,Aficionado,Si,Acción,18,Masculino
2017,Aficionado,Si,Ficción,20,Masculino
2017,Aficionado,Si,Ficción,33,Masculino
