"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"31.12.1999","9.5045","9.5245","9.5245","9.4745","0.21%"
"30.12.1999","9.4850","9.5020","9.5250","9.4700","0.64%"
"29.12.1999","9.4250","9.4600","9.5450","9.4250","-0.32%"
"28.12.1999","9.4550","9.5100","9.5700","9.4200","-0.68%"
"27.12.1999","9.5200","9.3850","9.5250","9.3850","1.01%"
"24.12.1999","9.4250","9.4100","9.4450","9.4000","0.32%"
"23.12.1999","9.3945","9.3275","9.4045","9.3195","0.77%"
"22.12.1999","9.3230","9.3100","9.3290","9.2980","0.09%"
"21.12.1999","9.3150","9.3280","9.3330","9.3000","-0.05%"
"20.12.1999","9.3200","9.3350","9.3550","9.3080","-0.16%"
"17.12.1999","9.3350","9.3400","9.3550","9.3250","-0.19%"
"16.12.1999","9.3530","9.3450","9.3700","9.3350","0.11%"
"15.12.1999","9.3425","9.4045","9.4245","9.3405","-0.64%"
"14.12.1999","9.4030","9.4100","9.4200","9.3900","-0.05%"
"13.12.1999","9.4080","9.3850","9.4350","9.3230","0.14%"
"10.12.1999","9.3950","9.4200","9.4300","9.3850","-0.34%"
"09.12.1999","9.4270","9.4520","9.4560","9.4100","-0.34%"
"08.12.1999","9.4590","9.4520","9.4850","9.4050","0.10%"
"07.12.1999","9.4500","9.4560","9.4650","9.4270","-0.19%"
"06.12.1999","9.4680","9.4360","9.4730","9.4250","0.26%"
"03.12.1999","9.4430","9.5500","9.5530","9.4300","-1.16%"
"02.12.1999","9.5540","9.4850","9.5750","9.4190","0.67%"
"01.12.1999","9.4900","9.4480","9.4950","9.4210","0.48%"
"30.11.1999","9.4450","9.4280","9.4730","9.4000","0.19%"
"29.11.1999","9.4275","9.3154","9.4325","9.2657","0.77%"
"26.11.1999","9.3550","9.3300","9.3730","9.2333","0.27%"
"25.11.1999","9.3300","9.2950","9.3390","9.2433","0.28%"
"24.11.1999","9.3035","9.3265","9.3465","9.2477","-0.27%"
"23.11.1999","9.3290","9.3350","9.3420","9.2512","-0.06%"
"22.11.1999","9.3350","9.2880","9.3420","9.2462","0.05%"
"19.11.1999","9.3300","9.3450","9.3530","9.3200","-0.13%"
"18.11.1999","9.3420","9.3350","9.3570","9.3210","0.13%"
"17.11.1999","9.3300","9.3700","9.3760","9.3230","-0.18%"
"16.11.1999","9.3470","9.3900","9.4300","9.3100","-0.38%"
"15.11.1999","9.3830","9.3700","9.3900","9.3570","-0.10%"
"12.11.1999","9.3925","9.3925","9.3975","9.3625","0.03%"
"11.11.1999","9.3900","9.4000","9.4000","9.3730","-0.03%"
"10.11.1999","9.3930","9.4220","9.4420","9.3800","-0.21%"
"09.11.1999","9.4125","9.3925","9.4415","9.3675","0.10%"
"08.11.1999","9.4030","9.5150","9.5150","9.3950","-1.20%"
"05.11.1999","9.5175","9.4745","9.5285","9.4325","0.43%"
"04.11.1999","9.4770","9.4900","9.5450","9.4130","-0.27%"
"03.11.1999","9.5030","9.5930","9.5930","9.4740","-0.85%"
"02.11.1999","9.5845","9.6095","9.6125","9.5675","-0.36%"
"01.11.1999","9.6190","9.6050","9.6350","9.6000","0.22%"
"29.10.1999","9.5975","9.6445","9.6485","9.5925","-0.54%"
"28.10.1999","9.6500","9.6400","9.6570","9.6170","-0.04%"
"27.10.1999","9.6540","9.6500","9.6600","9.6400","0.09%"
