Anio,Categoria,Pais,Genero,Edad,Sexo
2017,Aficionado,Colombia,Comedia romantica,35.0,Masculino
2017,Aficionado,Colombia,Drama,30.0,Masculino
2017,Aficionado,Colombia,Documental,23.0,Masculino
2017,Aficionado,Colombia,Suspenso,18.0,Femenino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Ficcion,38.0,Masculino
2017,Aficionado,Colombia,Drama,34.0,Masculino
2017,Aficionado,Extranjero,Suspenso,30.0,Masculino
2017,Aficionado,Colombia,Ficcion,31.0,Masculino
2017,Aficionado,Colombia,Drama,21.0,Masculino
2017,Aficionado,Colombia,Comedia romantica,30.0,Femenino
2017,Aficionado,Colombia,Suspenso,24.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Aficionado,Colombia,Ficcion,21.0,Masculino
2017,Aficionado,Colombia,Ficcion,29.0,Femenino
2017,Aficionado,Colombia,Comedia,26.0,Masculino
2017,Aficionado,Colombia,Ficcion,36.0,Masculino
2017,Aficionado,Colombia,Drama,40.0,Femenino
2017,Aficionado,Colombia,Drama,18.0,Femenino
2017,Aficionado,Extranjero,Drama,38.0,Masculino
2017,Aficionado,Colombia,Ficcion,25.0,Masculino
2017,Aficionado,Colombia,Drama,35.0,Femenino
2017,Aficionado,Colombia,Suspenso,19.0,Femenino
2017,Aficionado,Colombia,Drama,36.0,Masculino
2017,Aficionado,Colombia,Accion,23.0,Femenino
2017,Aficionado,Colombia,Drama,31.0,Masculino
2017,Aficionado,Colombia,Drama,33.0,Masculino
2017,Aficionado,Colombia,Drama,27.0,Femenino
2017,Aficionado,Colombia,Ficcion,58.0,Femenino
2017,Aficionado,Colombia,Comedia,31.0,Masculino
2017,Aficionado,Colombia,Suspenso,27.0,Masculino
2017,Aficionado,Colombia,Documental,37.0,Femenino
2017,Aficionado,Colombia,Drama,25.0,Masculino
2017,Aficionado,Colombia,Documental,23.0,Masculino
2017,Aficionado,Colombia,Comedia,24.0,Masculino
2017,Aficionado,Colombia,Documental,18.0,Masculino
2017,Aficionado,Colombia,Drama,34.0,Masculino
2017,Aficionado,Colombia,Drama,33.0,Masculino
2017,Aficionado,Colombia,Comedia,30.0,Femenino
2017,Aficionado,Colombia,Ficcion,20.0,Femenino
2017,Aficionado,Colombia,Drama,37.0,Masculino
2017,Aficionado,Colombia,Terror,24.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Femenino
2017,Aficionado,Colombia,Terror,46.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Drama,31.0,Masculino
2017,Aficionado,Colombia,Suspenso,40.0,Femenino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Ficcion,24.0,Masculino
2017,Aficionado,Colombia,Drama,28.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Masculino
2017,Aficionado,Colombia,Drama,34.0,Masculino
2017,Aficionado,Colombia,Drama,59.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Aficionado,Colombia,Suspenso,32.0,Masculino
2017,Aficionado,Colombia,Suspenso,27.0,Masculino
2017,Aficionado,Colombia,Ficcion,24.0,Masculino
2017,Aficionado,Colombia,Drama,34.0,Masculino
2017,Aficionado,Colombia,Suspenso,24.0,Masculino
2017,Aficionado,Colombia,Ficcion,21.0,Masculino
2017,Aficionado,Colombia,Ficcion,22.0,Femenino
2017,Aficionado,Colombia,Drama,26.0,Masculino
2017,Aficionado,Colombia,Comedia,28.0,Masculino
2017,Aficionado,Colombia,Drama,31.0,Masculino
2017,Aficionado,Colombia,Drama,25.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Femenino
2017,Aficionado,Colombia,Comedia romantica,21.0,Femenino
2017,Aficionado,Colombia,Suspenso,19.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Masculino
2017,Aficionado,Colombia,Ficcion,37.0,Femenino
2017,Aficionado,Colombia,Drama,47.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Aficionado,Colombia,Drama,21.0,Masculino
2017,Aficionado,Colombia,Ficcion,23.0,Masculino
2017,Aficionado,Colombia,Accion,21.0,Femenino
2017,Aficionado,Colombia,Suspenso,28.0,Masculino
2017,Aficionado,Colombia,Terror,28.0,Masculino
2017,Aficionado,Colombia,Suspenso,19.0,Masculino
2017,Aficionado,Colombia,Drama,21.0,Masculino
2017,Aficionado,Colombia,Suspenso,21.0,Masculino
2017,Aficionado,Colombia,Ficcion,26.0,Masculino
