Fecha,Cierre,Apertura,Máximo,Mínimo,% var.
1993-01-04,3.12,3.12,3.12,3.12,0.0
1993-01-05,3.11,3.12,3.12,3.11,-0.0032
1993-01-06,3.11,3.11,3.11,3.11,0.0
1993-01-07,3.105,3.115,3.115,3.105,-0.0016
1993-01-08,3.105,3.105,3.105,3.105,0.0
1993-01-11,3.105,3.105,3.105,3.105,0.0
1993-01-12,3.11,3.11,3.11,3.11,0.0016
1993-01-13,3.115,3.115,3.115,3.115,0.0016
1993-01-14,3.11,3.11,3.11,3.11,-0.0016
1993-01-15,3.11,3.11,3.11,3.1,0.0
1993-01-18,3.11,3.11,3.11,3.11,0.0
1993-01-19,3.105,3.112,3.121,3.108,-0.0016
1993-01-20,3.1,3.1,3.1,3.1,-0.0016
1993-01-21,3.1,3.1,3.11,3.1,0.0
1993-01-22,3.1,3.1,3.1,3.1,0.0
1993-01-25,3.1,3.1,3.11,3.1,0.0
1993-01-26,3.1,3.102,3.102,3.097,0.0
1993-01-27,3.12,3.1,3.16,3.09,0.006500000000000001
1993-01-28,3.12,3.09,3.16,3.09,0.0
1993-01-29,3.11,3.12,3.12,3.11,-0.0032
1993-02-01,3.1,3.11,3.1,3.1,-0.0032
1993-02-02,3.1,3.1,3.1,3.1,0.0
1993-02-03,3.1,3.15,3.1,3.1,0.0
1993-02-04,3.1,3.1,3.1,3.1,0.0
1993-02-05,3.1,3.1,3.1,3.1,0.0
1993-02-08,3.1,3.1,3.1,3.1,0.0
1993-02-09,3.095,3.105,3.105,3.095,-0.0016
1993-02-10,3.095,3.095,3.105,3.095,0.0
1993-02-11,3.1,3.1,3.1,3.1,0.0016
1993-02-12,3.095,3.105,3.105,3.095,-0.0016
1993-02-15,3.1,3.1,3.1,3.1,0.0016
1993-02-16,3.1,3.1,3.1,3.1,0.0
1993-02-17,3.095,3.105,3.095,3.095,-0.0016
1993-02-18,3.09,3.09,3.09,3.09,-0.0016
1993-02-19,3.09,3.09,3.09,3.09,0.0
1993-02-22,3.09,3.09,3.09,3.09,0.0
1993-02-23,3.09,3.09,3.09,3.09,0.0
1993-02-24,3.09,3.09,3.09,3.09,0.0
1993-02-25,3.1,3.09,3.1,3.09,0.0032
1993-02-26,3.1,3.1,3.1,3.09,0.0
1993-03-01,3.09,3.1,3.1,3.09,-0.0032
1993-03-02,3.09,3.09,3.09,3.09,0.0
1993-03-03,3.09,3.09,3.09,3.09,0.0
1993-03-04,3.1,3.09,3.1,3.09,0.0032
1993-03-05,3.1,3.15,3.1,3.1,0.0
1993-03-08,3.1,3.1,3.1,3.1,0.0
1993-03-09,3.12,3.15,3.12,3.1,0.006500000000000001
1993-03-10,3.115,3.125,3.125,3.115,-0.0016
1993-03-11,3.12,3.12,3.12,3.11,0.0016
1993-03-12,3.12,3.12,3.12,3.11,0.0
1993-03-15,3.12,3.12,3.12,3.11,0.0
1993-03-16,3.12,3.12,3.12,3.12,0.0
1993-03-17,3.12,3.12,3.12,3.12,0.0
1993-03-18,3.12,3.12,3.12,3.11,0.0
1993-03-19,3.115,3.115,3.115,3.115,-0.0016
1993-03-22,3.12,3.11,3.12,3.11,0.0016
1993-03-23,3.11,3.12,3.12,3.11,-0.0032
1993-03-24,3.11,3.11,3.11,3.11,0.0
1993-03-25,3.11,3.11,3.11,3.11,0.0
1993-03-26,3.1,3.11,3.11,3.1,-0.0032
1993-03-29,3.095,3.105,3.105,3.095,-0.0016
1993-03-30,3.09,3.1,3.1,3.09,-0.0016
1993-03-31,3.09,3.09,3.09,3.09,0.0
1993-04-01,3.09,3.09,3.09,3.09,0.0
1993-04-02,3.09,3.09,3.09,3.09,0.0
1993-04-05,3.09,3.09,3.09,3.09,0.0
1993-04-06,3.09,3.09,3.09,3.09,0.0
1993-04-07,3.1,3.1,3.1,3.09,0.0032
1993-04-08,3.1,3.1,3.1,3.1,0.0
1993-04-09,3.1,3.1,3.1,3.1,0.0
1993-04-12,3.1,3.1,3.1,3.09,0.0
1993-04-13,3.1,3.1,3.1,3.1,0.0
1993-04-14,3.095,3.095,3.105,3.095,-0.0016
1993-04-15,3.09,3.09,3.09,3.09,-0.0016
1993-04-16,3.09,3.09,3.09,3.09,0.0
1993-04-19,3.09,3.09,3.09,3.09,0.0
1993-04-20,3.09,3.09,3.09,3.09,0.0
1993-04-21,3.09,3.09,3.09,3.09,0.0
1993-04-22,3.09,3.09,3.09,3.09,0.0
1993-04-23,3.09,3.09,3.1,3.09,0.0
1993-04-26,3.095,3.095,3.105,3.095,0.0016
1993-04-27,3.1,3.1,3.1,3.09,0.0016
1993-04-28,3.11,3.11,3.11,3.1,0.0032
1993-04-29,3.12,3.12,3.12,3.11,0.0032
1993-04-30,3.11,3.11,3.12,3.11,-0.0032
1993-05-03,3.11,3.11,3.11,3.1,0.0
1993-05-04,3.13,3.13,3.13,3.11,0.0064
1993-05-05,3.13,3.13,3.13,3.13,0.0
1993-05-06,3.15,3.15,3.15,3.13,0.0064
1993-05-07,3.13,3.13,3.15,3.13,-0.0063
1993-05-10,3.13,3.13,3.14,3.13,0.0
1993-05-11,3.13,3.13,3.14,3.13,0.0
1993-05-12,3.13,3.13,3.13,3.12,0.0
1993-05-13,3.13,3.13,3.13,3.13,0.0
1993-05-14,3.13,3.13,3.13,3.13,0.0
1993-05-17,3.12,3.12,3.13,3.12,-0.0032
1993-05-18,3.115,3.115,3.125,3.115,-0.0016
1993-05-19,3.11,3.11,3.12,3.11,-0.0016
1993-05-20,3.11,3.11,3.11,3.11,0.0
1993-05-21,3.12,3.12,3.13,3.1,0.0032
1993-05-24,3.12,3.12,3.12,3.11,0.0
1993-05-25,3.13,3.13,3.13,3.11,0.0032
1993-05-26,3.12,3.12,3.13,3.12,-0.0032
1993-05-27,3.12,3.12,3.13,3.12,0.0
1993-05-28,3.12,3.12,3.12,3.11,0.0
1993-05-31,3.12,3.12,3.12,3.12,0.0
1993-06-01,3.12,3.12,3.13,3.11,0.0
1993-06-02,3.12,3.12,3.13,3.12,0.0
1993-06-03,3.12,3.12,3.13,3.12,0.0
1993-06-04,3.12,3.12,3.13,3.12,0.0
1993-06-07,3.13,3.13,3.13,3.12,0.0032
1993-06-08,3.13,3.13,3.13,3.12,0.0
1993-06-09,3.13,3.13,3.13,3.12,0.0
1993-06-10,3.13,3.13,3.13,3.12,0.0
1993-06-11,3.12,3.12,3.13,3.12,-0.0032
1993-06-14,3.11,3.11,3.12,3.11,-0.0032
1993-06-15,3.12,3.12,3.12,3.1,0.0032
1993-06-16,3.12,3.12,3.12,3.11,0.0
1993-06-17,3.12,3.12,3.12,3.11,0.0
1993-06-18,3.115,3.115,3.125,3.115,-0.0016
1993-06-21,3.11,3.11,3.11,3.11,-0.0016
1993-06-22,3.12,3.12,3.12,3.11,0.0032
1993-06-23,3.115,3.115,3.125,3.115,-0.0016
1993-06-24,3.115,3.115,3.125,3.115,0.0
1993-06-25,3.12,3.12,3.12,3.11,0.0016
1993-06-28,3.12,3.12,3.12,3.12,0.0
1993-06-29,3.12,3.12,3.12,3.11,0.0
1993-06-30,3.13,3.13,3.13,3.11,0.0032
1993-07-01,3.125,3.125,3.135,3.125,-0.0016
1993-07-02,3.12,3.12,3.13,3.12,-0.0016
1993-07-05,3.125,3.125,3.125,3.125,0.0016
1993-07-06,3.12,3.12,3.13,3.12,-0.0016
1993-07-07,3.12,3.12,3.12,3.12,0.0
1993-07-08,3.125,3.125,3.135,3.125,0.0016
1993-07-09,3.13,3.13,3.13,3.12,0.0016
1993-07-12,3.13,3.13,3.13,3.13,0.0
1993-07-13,3.125,3.125,3.135,3.125,-0.0016
1993-07-14,3.12,3.12,3.12,3.12,-0.0016
1993-07-15,3.12,3.12,3.12,3.12,0.0
1993-07-16,3.12,3.12,3.12,3.12,0.0
1993-07-19,3.125,3.125,3.135,3.125,0.0016
1993-07-20,3.12,3.12,3.12,3.12,-0.0016
1993-07-21,3.12,3.12,3.12,3.12,0.0
1993-07-22,3.12,3.12,3.12,3.12,0.0
1993-07-23,3.12,3.12,3.12,3.12,0.0
1993-07-26,3.12,3.12,3.12,3.12,0.0
1993-07-27,3.12,3.12,3.12,3.12,0.0
1993-07-28,3.12,3.12,3.12,3.12,0.0
1993-07-29,3.12,3.12,3.13,3.12,0.0
1993-07-30,3.115,3.125,3.125,3.115,-0.0016
1993-08-02,3.11,3.11,3.12,3.11,-0.0016
1993-08-03,3.11,3.11,3.11,3.11,0.0
1993-08-04,3.11,3.11,3.11,3.11,0.0
1993-08-05,3.11,3.11,3.11,3.11,0.0
1993-08-06,3.11,3.11,3.11,3.11,0.0
1993-08-09,3.11,3.11,3.11,3.11,0.0
1993-08-10,3.11,3.11,3.12,3.11,0.0
1993-08-11,3.11,3.11,3.11,3.11,0.0
1993-08-12,3.115,3.115,3.125,3.105,0.0016
1993-08-13,3.115,3.115,3.115,3.105,0.0
1993-08-16,3.11,3.11,3.11,3.11,-0.0016
1993-08-17,3.11,3.11,3.11,3.11,0.0
1993-08-18,3.11,3.11,3.11,3.11,0.0
1993-08-19,3.11,3.11,3.11,3.1,0.0
1993-08-20,3.11,3.11,3.11,3.11,0.0
1993-08-23,3.11,3.11,3.11,3.11,0.0
1993-08-24,3.11,3.11,3.11,3.11,0.0
1993-08-25,3.11,3.11,3.11,3.11,0.0
1993-08-26,3.11,3.11,3.11,3.11,0.0
1993-08-27,3.11,3.11,3.11,3.11,0.0
1993-08-30,3.11,3.11,3.12,3.11,0.0
1993-08-31,3.11,3.11,3.11,3.11,0.0
1993-09-01,3.11,3.11,3.11,3.11,0.0
1993-09-02,3.11,3.11,3.11,3.11,0.0
1993-09-03,3.11,3.11,3.11,3.11,0.0
1993-09-06,3.11,3.11,3.11,3.11,0.0
1993-09-07,3.11,3.11,3.11,3.11,0.0
1993-09-08,3.11,3.11,3.11,3.11,0.0
1993-09-09,3.11,3.11,3.11,3.11,0.0
1993-09-10,3.11,3.11,3.11,3.11,0.0
1993-09-13,3.11,3.11,3.11,3.11,0.0
1993-09-14,3.11,3.11,3.11,3.11,0.0
1993-09-15,3.11,3.11,3.12,3.11,0.0
1993-09-16,3.11,3.11,3.11,3.11,0.0
1993-09-17,3.11,3.11,3.11,3.11,0.0
1993-09-20,3.11,3.11,3.11,3.11,0.0
1993-09-21,3.125,3.125,3.125,3.105,0.0048
1993-09-22,3.115,3.115,3.125,3.115,-0.0032
1993-09-23,3.11,3.11,3.11,3.11,-0.0016
1993-09-24,3.11,3.11,3.12,3.11,0.0
1993-09-27,3.12,3.12,3.12,3.11,0.0032
1993-09-28,3.12,3.12,3.12,3.11,0.0
1993-09-29,3.165,3.165,3.165,3.155,0.0144
1993-09-30,3.12,3.12,3.12,3.12,-0.014199999999999999
1993-10-01,3.12,3.12,3.12,3.11,0.0
1993-10-04,3.11,3.11,3.11,3.11,-0.0032
1993-10-05,3.115,3.115,3.125,3.115,0.0016
1993-10-06,3.11,3.12,3.12,3.11,-0.0016
1993-10-07,3.115,3.115,3.115,3.105,0.0016
1993-10-08,3.11,3.11,3.11,3.1,-0.0016
1993-10-11,3.11,3.11,3.11,3.11,0.0
